鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中山區,土地,榮星段三小段433地號,25.57,都市：其他:道路用地(公共設施用地)。65/11/24,,,1110822,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3765705,147270,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPXOMLQJRHHGFCA78EA,0.0,0.0,0.0,無,
內湖區,房地(土地+建物),臺北市內湖區內湖路一段９１巷２４弄２５號三樓,41.05,工,,,1110810,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0701027,112.98,2,2,1,有,無,15000000,132767,,0.0,0,,RPRNMLRJRHHGFCA18EA,100.06,0.0,12.92,無,
中山區,土地,榮星段四小段24地號,36.0,都市：其他:道路用地(公共設施用地)。62/8/20,,,1110822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3784795,105133,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPSOMLRJRHHGFCA38EA,0.0,0.0,0.0,無,
中山區,房地(土地+建物),臺北市中山區龍江路３９７巷４０號二樓,29.1,住,,,1110807,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701130,103.72,3,2,2,有,無,20000000,192827,,0.0,0,,RPXQMLQKOHHGFCA78EA,88.14,0.0,15.58,無,
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段２７０號三樓之１,19.34,商,,,1110808,土地1建物2車位1,三層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0930930,148.98000000000002,2,2,2,有,有,38500000,258424,坡道平面,0.0,0,,RPPRMLLJQHHGFDA77EA,75.94,0.81,8.54,有,
信義區,土地,永春段一小段114地號,0.01,都市：其他:道路用地(公共設施用地)。51/9/1,,,1110829,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,540,0,,0.0,0,包含公共設施保留地用地；,RPQQMLQJRHHGFDA38EA,0.0,0.0,0.0,無,025
北投區,土地,振興段四小段530地號,3.5,都市：其他:道路用地(公共設施用地)。66/1/11,,,1110822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,233100,66600,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPOPMLQJRHHGFEA18EA,0.0,0.0,0.0,無,026
北投區,土地,振興段四小段530地號,3.5,都市：其他:道路用地(公共設施用地)。66/1/11,,,1110822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,233100,66600,,0.0,0,111年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPPPMLQJRHHGFEA28EA,0.0,0.0,0.0,無,026
士林區,土地,溪洲段一小段136地號,67.0,,,,1110830,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6080250,90750,,0.0,0,,RPQNMLRJRHHGFEA28EA,0.0,0.0,0.0,無,
士林區,土地,富安段一小段4地號,381.0,,,,1110826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30541910,80162,,0.0,0,,RPRNMLRJRHHGFEA38EA,0.0,0.0,0.0,無,
